"Ernest Blaber",,,,
"Fay Whitfield","Q75975157","2019 United Kingdom general election","North East Somerset","Green Party of England and Wales"
"Gail Coleshill",,,,
"Katy Boyce",,,,
"Manda Rigby",,,,
"Mark Huband",,,,
"Michael Jay",,,,
"Nick Coates","Q75839195","2019 United Kingdom general election","North East Somerset","Liberal Democrats"
"Peter Sandell","Q98544511","1997 United Kingdom general election","Bath","UK Independence Party"
"Robin Moss",,,,
"Sally Calverley",,,,
"Shaun Hughes","Q76509461","2019 United Kingdom general election","North East Somerset","independent politician"
"Todd Foreman",,,,
